user,sex,age,provider,level,verified,using_time,regist_type,card_a_cnt,card_b_cnt,card_c_cnt,agreement1,op1_cnt,op2_cnt,card_d_cnt,agreement_total,service1_cnt,service1_amt,service2_cnt,agreement2,agreement3,agreement4,acc_count,login_cnt_period1,login_cnt_period2,ip_cnt,login_cnt_avg,login_days_cnt,province,city,balance,balance_avg,balance1,balance1_avg,balance2,balance2_avg,service3,service3_level,product1_amount,product2_amount,product3_amount,product4_amount,product5_amount,product6_amount,product7_cnt,product7_fail_cnt
Train_06800,category 1,24877,category 0,category 2,category 0,24728,category 1,24712,24712,24706,category 0,24725,24712,24706,24731,24706,24706,24706,category 0,category 1,category 0,24719,25236,25041,24725,24749,24749,f44d49ef80e942ff,8f1271ab75b3e2d8,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24706,24706
Train_23487,category 1,24895,category 0,category 2,category 0,24719,category 1,24719,24719,24706,category 0,24719,24712,24706,24737,24706,24706,24706,category 0,category 0,category 1,24712,25279,25139,24791,24731,24798,c333319f1964450d,ca5d57322c1e6545,level 19,level 19,level 1,level 1,level 20,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_36880,category 0,24853,category 0,category 2,category 0,24723,category 1,24719,24719,24706,category 0,24712,24712,24706,24749,24706,24706,24706,category 0,category 0,category 0,24725,27002,25790,24938,24743,24883,21c43413032d5522,fdb6d47398f44c67,level 7,level 5,level 14,level 11,level 1,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_35392,category 0,24938,category 1,category 1,category 0,24707,category 3,24712,24712,24706,category 0,24706,24706,24706,24731,24706,24706,24706,category 0,category 0,category 0,24725,25109,25109,24798,24731,24791,7fb40ca1dc4972a0,f3aa133c653a4cf9,level 11,level 7,level 1,level 1,level 12,level 4,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_35057,category 0,24956,category 0,category 2,category 0,24728,category 2,24719,24712,24712,category 0,24712,24712,24706,24749,24706,24706,24706,category 0,category 0,category 1,24712,25145,24859,24767,24712,24791,71c3649e6dfc18fe,c65608b2298e1ead,level 8,level 9,level 1,level 1,level 9,level 5,category 0,,level 2,level 8,level 1,level 0,level 0,level 1,24712,24706
Train_03090,category 1,24846,category 0,category 2,category 0,24713,category 1,24719,24719,24706,category 0,24712,24712,24712,24755,24706,24706,24706,category 0,category 1,category 0,24719,25243,25243,24822,24737,24798,6dd7071b6edc22d2,0dee749b6cd70448,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_43444,category 1,24883,category 0,category 2,category 0,24729,category 7,24712,24712,24706,category 0,24712,24712,24706,24737,24706,24706,24706,category 0,category 0,category 1,24731,24780,24780,24725,24719,24737,4537ea65a48e5fc2,65d88eabca6a6cc6,level 9,level 5,level 1,level 1,level 10,level 3,category 0,,level 2,level 9,level 1,level 0,level 0,level 1,24712,24706
Train_41088,category 0,24853,category 0,category 2,category 0,24731,category 7,24712,24712,24706,category 0,24712,24712,24706,24737,24706,24706,24706,category 1,category 0,category 0,24737,25394,25023,24791,24725,24791,c3e48f852a0da7b6,1b25064aa7fe4945,level 11,level 8,level 4,level 4,level 10,level 4,category 0,,level 2,level 9,level 1,level 0,level 0,level 5,24712,24706
Train_08221,category 0,24914,category 0,category 2,category 0,24725,category 1,24719,24719,24706,category 0,24725,24712,24706,24755,24706,24706,24706,category 1,category 0,category 0,24737,26348,26039,24895,24755,24871,c3e48f852a0da7b6,44d4af9f29714503,level 14,level 14,level 1,level 1,level 16,level 5,category 0,,level 2,level 12,level 1,level 0,level 0,level 17,24712,24706
Train_31781,category 1,24859,category 0,category 1,category 0,24717,category 1,24731,24712,24725,category 0,24731,24712,24706,24749,24706,24706,24706,category 0,category 0,category 0,24743,29840,26251,25011,24737,24974,6dd7071b6edc22d2,998bea7dacc1ac2e,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24706,24706
Train_31874,category 0,24895,category 0,category 2,category 0,24707,category 1,24712,24712,24706,category 0,24719,24712,24706,24737,24706,24706,24706,category 1,category 1,category 0,24725,25163,25163,24804,24725,24829,71c3649e6dfc18fe,a18aa4ca362cb2c9,level 6,level 8,level 11,level 12,level 6,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_17154,category 0,24846,category 0,category 2,category 0,24732,category 7,24719,24719,24706,category 0,24737,24712,24706,24749,24706,24706,24706,category 0,category 1,category 0,24712,25680,25005,24834,24719,24822,648024953e363510,e174abcd1cd8c033,level 7,level 7,level 1,level 1,level 7,level 5,category 0,,level 2,level 6,level 1,level 0,level 0,level 1,24712,24706
Train_38943,category 1,24865,category 0,category 2,category 0,24726,category 1,24719,24719,24706,category 0,24719,24712,24712,24767,24706,24706,24706,category 0,category 1,category 1,24853,28885,25959,24931,24731,25005,c333319f1964450d,0b85400b545803a1,level 21,level 21,level 4,level 15,level 21,level 5,category 1,category 0,level 2,level 20,level 1,level 0,level 0,level 20,24712,24706
Train_27751,category 1,24889,category 2,category 2,category 0,24709,category 3,24712,24712,24706,category 0,24706,24712,24706,24743,24706,24706,24706,category 0,category 0,category 0,24725,25959,25449,24810,24743,24816,4537ea65a48e5fc2,a8efc44b2d078db6,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 2,level 8,level 1,level 0,level 0,level 1,24712,24706
Train_21146,category 0,24883,category 0,category 2,category 0,24722,category 1,24712,24712,24706,category 0,24737,24712,24706,24755,24706,24706,24706,category 1,category 0,category 0,24743,25054,24871,24731,24743,24731,21c43413032d5522,30733d8f7463dc43,level 5,level 20,level 10,level 9,level 5,level 5,category 0,,level 2,level 5,level 1,level 0,level 0,level 10,24706,24706
Train_05251,category 0,24895,category 0,category 2,category 0,24713,category 1,24725,24719,24712,category 0,24719,24712,24712,24780,24706,24706,24706,category 1,category 1,category 0,24712,26348,25765,24834,24785,24785,e6c2bd43d3384f1d,c9fab028d084bdfa,level 4,level 3,level 2,level 2,level 4,level 5,category 0,,level 2,level 4,level 1,level 0,level 0,level 4,24712,24706
Train_16149,category 1,24931,category 1,category 1,category 0,24709,category 3,24712,24712,24706,category 0,24706,24706,24706,24737,24706,24706,24706,category 0,category 1,category 0,24743,25607,25078,24840,24725,24829,71c3649e6dfc18fe,a18aa4ca362cb2c9,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_05430,category 0,24974,category 0,category 2,category 0,24719,category 1,24719,24719,24706,category 0,24749,24725,24706,24749,24706,24706,24706,category 1,category 0,category 0,24719,27516,25911,24853,24755,24853,f44d49ef80e942ff,90999a1604e297f1,level 8,level 12,level 9,level 9,level 9,level 5,category 0,,level 2,level 8,level 1,level 0,level 0,level 5,24712,24706
Train_23216,category 1,24889,category 2,category 1,category 0,24723,category 3,24719,24719,24706,category 0,24725,24706,24706,24725,24706,24706,24706,category 0,category 0,category 0,24737,25291,25260,24785,24743,24791,4939d22f7c80736c,9309a5d685e8ed45,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24706,24706
Train_00621,category 0,24859,category 0,category 2,category 0,24729,category 7,24719,24719,24706,category 0,24712,24712,24706,24737,24706,24706,24706,category 0,category 0,category 1,24731,25717,25298,24810,24743,24791,6dd7071b6edc22d2,b0a3460e56401e2a,level 2,level 2,level 1,level 1,level 2,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_44663,category 1,24908,category 0,category 2,category 0,24721,category 1,24719,24719,24706,category 0,24712,24712,24706,24743,24706,24706,24706,category 0,category 0,category 0,24719,25298,25279,24810,24755,24774,21c43413032d5522,90450c02aad148bf,level 5,level 3,level 11,level 8,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_40531,category 1,24908,category 0,category 2,category 0,24728,category 1,24712,24712,24706,category 0,24725,24712,24706,24761,24706,24706,24706,category 0,category 1,category 1,24725,25577,25048,24761,24743,24761,21c43413032d5522,76cc98309376a6d2,level 2,level 2,level 3,level 3,level 1,level 1,category 0,,level 2,level 2,level 1,level 0,level 0,level 1,24712,24706
Train_29740,category 1,24925,category 0,category 2,category 0,24718,category 1,24719,24719,24706,category 0,24725,24719,24706,24749,24706,24706,24706,category 0,category 1,category 0,24774,36092,28270,25243,24761,25084,993a795b56eef075,c6c59137939912c2,level 19,level 20,level 20,level 19,level 1,level 5,category 0,,level 2,level 17,level 1,level 0,level 0,level 14,24712,24706
Train_41123,category 0,24871,category 0,category 2,category 0,24712,category 1,24712,24712,24706,category 0,24712,24712,24706,24755,24706,24706,24706,category 1,category 0,category 0,24737,27365,26245,24895,24761,24871,6c35e7246f6d4e1c,c59e8d6ecb14ec62,level 2,level 12,level 1,level 1,level 2,level 5,category 0,,level 2,level 2,level 1,level 0,level 0,level 1,24749,24743
Train_11378,category 0,24914,category 0,category 2,category 0,24717,category 1,24719,24719,24706,category 0,24731,24719,24706,24761,24706,24706,24706,category 0,category 1,category 0,24737,25291,25139,24785,24743,24774,4537ea65a48e5fc2,09e532ceea333607,level 21,level 21,level 21,level 20,level 4,level 5,category 0,,level 2,level 19,level 1,level 0,level 0,level 19,24712,24706
Train_40757,category 0,24963,category 0,category 2,category 0,24722,category 1,24712,24712,24706,category 0,24719,24725,24706,24767,24706,24706,24706,category 1,category 1,category 0,24712,26420,25419,24798,24737,24834,6b3c8e3d6666ebef,db7e2961c4482fd2,level 17,level 15,level 14,level 14,level 18,level 5,category 0,,level 2,level 15,level 1,level 0,level 0,level 6,24719,24712
Train_09311,category 0,24889,category 2,category 2,category 0,24712,category 3,24731,24719,24719,category 0,24706,24706,24712,24761,24706,24706,24706,category 0,category 1,category 0,24712,27051,25656,24846,24737,24895,5f5c1abc4530f9d9,d3131cfb9a6456d2,level 9,level 10,level 1,level 1,level 10,level 5,category 0,,level 2,level 9,level 1,level 0,level 0,level 1,24712,24706
Train_18724,category 1,24986,category 0,category 1,category 0,24708,category 3,24712,24719,24706,category 0,24706,24706,24706,24749,24706,24706,24706,category 1,category 0,category 0,24719,25249,25236,24767,24761,24761,1c78bbcfd5d34a7a,b3711c3e9c494d43,level 14,level 14,level 1,level 1,level 15,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24706,24706
Train_24209,category 0,24853,category 0,category 1,category 0,24716,category 1,24712,24712,24706,category 0,24737,24712,24706,24761,24706,24706,24706,category 1,category 1,category 0,24731,27093,25419,24865,24731,24865,6b3c8e3d6666ebef,7029814c1c183c7d,level 14,level 8,level 12,level 12,level 14,level 3,category 0,,level 2,level 11,level 1,level 0,level 0,level 10,24731,24725
Train_08845,category 0,24914,category 0,category 2,category 0,24741,category 7,24719,24712,24712,category 0,24712,24712,24706,24743,24706,24706,24706,category 0,category 0,category 1,24731,25717,25438,24980,24725,24944,6fe245ff773f634d,26ae5d7d8a38085e,level 6,level 5,level 11,level 11,level 5,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_09309,category 0,24871,category 0,category 1,category 0,24719,category 1,24725,24725,24706,category 0,24712,24719,24706,24749,24706,24706,24706,category 1,category 0,category 0,24725,26075,25438,24791,24761,24785,6fe245ff773f634d,2f0b299674c47d29,level 8,level 6,level 15,level 6,level 1,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_39963,category 1,24956,category 0,category 2,category 0,24736,category 7,24712,24712,24706,category 0,24712,24712,24706,24749,24706,24706,24706,category 1,category 1,category 1,24725,25291,24993,24743,24749,24743,71c3649e6dfc18fe,4d7a1d5d729ccda3,level 20,level 20,level 11,level 10,level 21,level 5,category 0,,level 2,level 19,level 1,level 0,level 0,level 12,24731,24725
Train_33309,category 0,24883,category 0,category 1,category 0,24717,category 1,24712,24712,24706,category 0,24719,24725,24706,24737,24706,24706,24706,category 1,category 0,category 0,24731,26475,25480,24822,24737,24846,6c35e7246f6d4e1c,ae45b6573cb8ab68,level 1,level 5,level 1,level 1,level 1,level 2,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_22894,category 0,24908,category 0,category 2,category 0,24737,category 7,24737,24731,24719,category 0,24719,24706,24706,24785,24706,24706,24706,category 1,category 1,category 1,24719,27498,25620,24956,24725,24969,9441fd3d54d5fb9c,1d6a779e4aa52e95,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 13,24719,24712
Train_18241,category 0,25005,category 0,category 2,category 0,24724,category 1,24712,24712,24706,category 0,24712,24712,24706,24737,24706,24706,24706,category 0,category 0,category 0,24719,24804,24804,24725,24719,24749,648024953e363510,ad0726133986cd6d,level 12,level 9,level 9,level 8,level 10,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_21171,category 0,24920,category 1,category 2,category 0,24726,category 2,24731,24731,24706,category 0,24706,24706,24712,24755,24706,24706,24706,category 0,category 1,category 0,24743,28223,25625,24846,24749,24829,4939d22f7c80736c,7437f65ad125eb5b,level 2,level 2,level 2,level 2,level 1,level 1,category 0,,level 2,level 2,level 1,level 0,level 0,level 14,24706,24706
Train_09773,category 0,24908,category 0,category 2,category 0,24710,category 3,24712,24712,24706,category 0,24712,24712,24706,24737,24706,24706,24706,category 1,category 0,category 0,24725,24944,24810,24737,24731,24731,71c3649e6dfc18fe,67d0c9b234855c10,level 16,level 14,level 1,level 1,level 17,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24719,24712
Train_16001,category 0,24846,category 0,category 2,category 0,24728,category 1,24725,24725,24706,category 0,24719,24712,24706,24761,24706,24706,24706,category 1,category 0,category 0,24719,25832,25389,24920,24725,24901,6fe245ff773f634d,214445a9aa64f7eb,level 1,level 9,level 1,level 1,level 1,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_37095,category 0,24895,category 0,category 2,category 0,24714,category 2,24719,24719,24706,category 0,24731,24719,24706,24755,24706,24706,24706,category 1,category 0,category 0,24731,26681,26306,24822,24767,24865,71c3649e6dfc18fe,5d12c0f3e0a7d22b,level 20,level 21,level 14,level 13,level 21,level 5,category 0,,level 2,level 18,level 1,level 0,level 0,level 18,24725,24719
Train_33950,category 1,24963,category 0,category 2,category 0,24716,category 1,24712,24712,24706,category 0,24719,24712,24706,24755,24706,24706,24706,category 1,category 0,category 1,24719,25133,24920,24755,24737,24749,f44d49ef80e942ff,72851ec858829f15,level 19,level 19,level 12,level 11,level 20,level 5,category 0,,level 2,level 17,level 1,level 0,level 0,level 18,24731,24725
Train_02602,category 1,24883,category 0,category 2,category 0,24713,category 1,24712,24712,24706,category 0,24712,24712,24706,24737,24706,24706,24706,category 0,category 0,category 0,24712,24963,24883,24785,24719,24785,74c577b6f0e1332c,b3aec24f1c94ef22,level 12,level 12,level 1,level 1,level 13,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_23381,category 0,24865,category 0,category 2,category 0,24724,category 1,24712,24712,24706,category 0,24725,24712,24706,24743,24706,24706,24706,category 1,category 0,category 0,24712,25771,25383,24846,24731,24853,6c35e7246f6d4e1c,12819fd2bd5416c6,level 9,level 9,level 1,level 1,level 9,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_37648,category 0,24895,category 0,category 2,category 0,24719,category 3,24719,24719,24706,category 0,24706,24706,24706,24737,24706,24706,24706,category 0,category 0,category 0,24719,25485,25315,24834,24731,24840,9441fd3d54d5fb9c,1d6a779e4aa52e95,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_28336,category 0,24865,category 0,category 2,category 0,24725,category 1,24712,24712,24706,category 0,24719,24712,24706,24731,24706,24706,24706,category 1,category 0,category 0,24731,25321,25200,24780,24731,24810,c3e48f852a0da7b6,1b25064aa7fe4945,level 1,level 9,level 1,level 1,level 1,level 3,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_28210,category 1,24846,category 0,category 1,category 0,24708,category 1,24712,24712,24706,category 0,24712,24719,24706,24749,24706,24706,24706,category 1,category 0,category 0,24731,25127,25029,24761,24749,24749,8f730d6bf0fd60a3,a02519a39e347545,level 19,level 5,level 1,level 1,level 20,level 2,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24706,24706
Train_43952,category 0,24846,category 0,category 2,category 0,24712,category 1,24719,24719,24706,category 0,24719,24712,24706,24767,24706,24706,24706,category 1,category 0,category 0,24737,28337,26105,25005,24725,25072,c3e48f852a0da7b6,44d4af9f29714503,level 14,level 15,level 1,level 1,level 16,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24737,24731
Train_37254,category 0,24895,category 0,category 2,category 0,24740,category 7,24712,24712,24706,category 0,24719,24712,24706,24737,24706,24706,24706,category 0,category 0,category 1,24743,24944,24944,24749,24743,24743,494915bbe9c3782f,69f9c095a7e95272,level 13,level 12,level 1,level 1,level 14,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_00600,category 0,24901,category 2,category 2,category 0,24710,category 3,24712,24712,24706,category 0,24706,24706,24706,24731,24706,24706,24706,category 0,category 0,category 0,24719,25917,25243,24938,24719,24889,7fb40ca1dc4972a0,2ea90cf79d909e0c,level 1,level 1,level 1,level 1,level 1,level 1,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24712,24706
Train_34515,category 0,24901,category 0,category 2,category 0,24714,category 1,24719,24719,24706,category 0,24725,24719,24706,24749,24706,24706,24706,category 1,category 0,category 0,24712,26160,25498,24780,24761,24791,494915bbe9c3782f,95f5975e26f2c231,level 19,level 14,level 1,level 1,level 20,level 5,category 0,,level 1,level 1,level 1,level 0,level 0,level 1,24719,24712
